,Ngram Term,count
1142,gaming headset,17
1143,colored pencils,17
1144,steel toe,17
1145,12 months,17
1146,blouses women,17
1147,water gun,17
1148,tool box,17
1149,lip gloss,17
1150,women dressy,17
1151,air pod,17
1152,cake pan,17
1153,24 inch,17
1154,middle school,17
1155,series 3,17
1156,running shorts,17
1157,athletic short,17
1158,body scrub,17
1159,box set,17
1160,full length,17
1161,slip shoe,17
1162,monitor stand,17
1163,gloves women,17
1164,flag pole,17
1165,toddler bed,17
1166,tote bags,17
1167,panties women,17
1168,office desk,17
1169,gifts 1,17
1170,gift box,17
1171,pop fidget,17
1172,mens sun,17
1173,gaming desk,17
1174,light glasses,17
1175,wigs black,17
1176,mens summer,17
1177,h blanket,17
1178,galaxy s9,16
1179,nike socks,16
1180,chair mat,16
1181,pajama set,16
1182,sleep sack,16
1183,back seat,16
1184,attack titan,16
1185,bed frames,16
1186,paint brush,16
1187,milwaukee bucks,16
1188,gaming keyboard,16
1189,ages 8-12,16
1190,size 5,16
1191,tool set,16
1192,ac unit,16
1193,swimsuit cover,16
1194,baby play,16
1195,slip shoes,16
1196,sound bar,16
1197,filter replacement,16
1198,holder wall,16
1199,jordan 1,16
1200,person tent,16
1201,basketball hoop,16
1202,rain jacket,16
1203,hands free,16
1204,stud earring,16
1205,twin mattress,16
1206,wireless keyboard,16
1207,floating shelves,16
1208,spice rack,16
1209,toddler girls,16
1210,12 year,16
1211,belts men,16
1212,room organizer,16
1213,coffee cups,16
1214,back pain,16
1215,composition notebook,16
1216,shoes boy,16
1217,baby shark,16
1218,weed eater,16
1219,hardwood floor,16
1220,size 9,16
1221,toilet bowl,16
1222,0-3 months,16
1223,ceiling light,16
1224,size dress,16
1225,display case,16
1226,tv mount,16
1227,piercing jewelry,16
1228,clearance sale,16
1229,home gym,16
1230,mirror light,16
1231,dress shirts,16
1232,girl toys,16
1233,bar stools,16
1234,flea tick,16
1235,top stand,16
1236,formal dress,16
1237,walkie talkie,16
1238,flower girl,16
1239,back bra,16
1240,piece puzzle,16
1241,nose rings,16
1242,patio umbrella,16
1243,roller skates,16
1244,desk drawer,16
1245,boy toys,16
1246,x controller,16
1247,car air,16
1248,outdoor furniture,16
1249,womens work,16
1250,x kit,16
1251,3 gallon,16
1252,men work,16
1253,cake stand,16
1254,kitchen cabinet,16
1255,x men,16
1256,toys 3,16
1257,moto g,16
1258,one controller,16
1259,ring doorbell,16
1260,laundry bag,16
1261,aid kit,16
1262,apple iphone,16
1263,band women,16
1264,bath toy,16
